,current_hp,levels,badges,pokedex_count,m,x,y
0,1.0,8,0,1,2,1,0
1,1.0,8,0,1,2,1,0
2,1.0,8,0,1,2,1,0
3,1.0,8,0,1,2,1,0
4,1.0,8,0,1,2,1,1
5,1.0,8,0,1,2,1,1
6,1.0,8,0,1,2,1,1
7,1.0,8,0,1,2,1,1
8,1.0,8,0,1,2,1,1
9,1.0,8,0,1,2,1,1
10,1.0,8,0,1,2,1,1
11,1.0,8,0,1,2,1,1
12,1.0,8,0,1,2,1,1
13,1.0,8,0,1,2,1,1
14,1.0,8,0,1,2,1,1
15,1.0,8,0,1,2,1,1
16,1.0,8,0,1,2,1,1
17,1.0,8,0,1,2,1,1
18,1.0,8,0,1,2,1,1
19,1.0,8,0,1,2,1,1
20,1.0,8,0,1,2,1,1
21,1.0,8,0,1,2,1,1
22,1.0,8,0,1,2,1,1
23,1.0,8,0,1,2,1,1
24,1.0,8,0,1,2,1,1
25,1.0,8,0,1,2,1,1
26,1.0,8,0,1,2,1,1
27,1.0,8,0,1,2,1,1
28,1.0,8,0,1,2,1,1
29,1.0,8,0,1,2,1,1
30,1.0,8,0,1,2,1,1
31,1.0,8,0,1,2,1,1
32,1.0,8,0,1,2,1,1
33,1.0,8,0,1,2,1,1
34,1.0,8,0,1,2,1,1
35,1.0,8,0,1,2,1,1
36,1.0,8,0,1,2,1,1
37,1.0,8,0,1,2,1,1
38,1.0,8,0,1,2,1,1
39,1.0,8,0,1,2,1,1
40,1.0,8,0,1,2,1,1
41,1.0,8,0,1,2,1,1
42,1.0,8,0,1,2,1,1
43,1.0,8,0,1,2,1,1
44,1.0,8,0,1,2,1,1
45,1.0,8,0,1,2,1,1
46,1.0,8,0,1,2,1,1
47,1.0,8,0,1,2,1,1
48,1.0,8,0,1,2,1,1
49,1.0,8,0,1,2,1,1
50,1.0,8,0,1,2,1,1
51,1.0,8,0,1,2,1,1
52,1.0,8,0,1,2,1,1
53,1.0,8,0,1,2,1,1
54,1.0,8,0,1,2,1,1
55,1.0,8,0,1,2,1,1
56,1.0,8,0,1,2,1,1
57,1.0,8,0,1,2,1,1
58,1.0,8,0,1,2,1,0
59,1.0,8,0,1,2,1,1
60,1.0,8,0,1,2,1,1
61,1.0,8,0,1,2,1,1
62,1.0,8,0,1,2,1,1
63,1.0,8,0,1,2,1,1
64,1.0,8,0,1,2,1,1
65,1.0,8,0,1,2,1,1
66,1.0,8,0,1,2,1,1
67,1.0,8,0,1,2,1,1
68,1.0,8,0,1,2,1,1
69,1.0,8,0,1,2,1,1
70,1.0,8,0,1,2,1,1
71,1.0,8,0,1,2,1,1
72,1.0,8,0,1,2,1,1
73,1.0,8,0,1,2,1,1
74,1.0,8,0,1,2,1,1
75,1.0,8,0,1,2,1,1
76,1.0,8,0,1,2,1,1
77,1.0,8,0,1,2,1,1
78,1.0,8,0,1,2,1,1
79,1.0,8,0,1,2,1,1
80,1.0,8,0,1,2,1,1
81,1.0,8,0,1,2,1,1
82,1.0,8,0,1,2,1,1
83,1.0,8,0,1,2,1,1
84,1.0,8,0,1,2,1,1
85,1.0,8,0,1,2,1,1
86,1.0,8,0,1,2,1,1
87,1.0,8,0,1,2,1,1
88,1.0,8,0,1,2,1,1
89,1.0,8,0,1,2,1,1
90,1.0,8,0,1,2,1,1
91,1.0,8,0,1,2,1,1
92,1.0,8,0,1,2,1,1
93,1.0,8,0,1,2,1,1
94,1.0,8,0,1,2,1,1
95,1.0,8,0,1,2,1,1
96,1.0,8,0,1,2,1,1
97,1.0,8,0,1,2,1,1
98,1.0,8,0,1,2,1,1
99,1.0,8,0,1,2,1,1
100,1.0,8,0,1,2,1,0
101,1.0,8,0,1,2,1,0
102,1.0,8,0,1,2,1,1
103,1.0,8,0,1,2,0,1
104,1.0,8,0,1,2,0,0
105,1.0,8,0,1,2,0,0
106,1.0,8,0,1,2,0,1
107,1.0,8,0,1,2,0,1
108,1.0,8,0,1,2,1,1
109,1.0,8,0,1,2,1,1
110,1.0,8,0,1,2,1,0
111,1.0,8,0,1,2,1,1
112,1.0,8,0,1,2,1,1
113,1.0,8,0,1,2,1,1
114,1.0,8,0,1,2,0,1
115,1.0,8,0,1,2,1,1
116,1.0,8,0,1,2,1,1
117,1.0,8,0,1,2,0,1
118,1.0,8,0,1,2,1,1
119,1.0,8,0,1,2,1,0
120,1.0,8,0,1,2,1,0
121,1.0,8,0,1,2,1,1
122,1.0,8,0,1,2,1,0
123,1.0,8,0,1,2,1,1
124,1.0,8,0,1,2,1,1
125,1.0,8,0,1,2,1,1
126,1.0,8,0,1,2,1,1
127,1.0,8,0,1,2,1,1
128,1.0,8,0,1,2,1,0
129,1.0,8,0,1,2,1,0
130,1.0,8,0,1,2,0,0
131,1.0,8,0,1,2,0,0
132,1.0,8,0,1,2,0,1
133,1.0,8,0,1,2,0,1
134,1.0,8,0,1,2,0,1
135,1.0,8,0,1,2,0,1
136,1.0,8,0,1,2,0,1
137,1.0,8,0,1,2,1,1
138,1.0,8,0,1,2,1,1
139,1.0,8,0,1,2,1,1
140,1.0,8,0,1,2,1,0
141,1.0,8,0,1,2,1,0
142,1.0,8,0,1,2,1,0
143,1.0,8,0,1,2,1,0
144,1.0,8,0,1,2,0,0
145,1.0,8,0,1,2,0,0
146,1.0,8,0,1,2,0,1
147,1.0,8,0,1,2,0,0
148,1.0,8,0,1,2,0,1
149,1.0,8,0,1,2,0,0
150,1.0,8,0,1,2,1,0
151,1.0,8,0,1,2,1,1
152,1.0,8,0,1,2,1,1
153,1.0,8,0,1,2,1,1
154,1.0,8,0,1,2,1,1
155,1.0,8,0,1,2,1,1
156,1.0,8,0,1,2,1,0
157,1.0,8,0,1,2,0,0
158,1.0,8,0,1,2,1,0
159,1.0,8,0,1,2,0,0
160,1.0,8,0,1,2,1,0
161,1.0,8,0,1,2,1,0
162,1.0,8,0,1,2,0,0
163,1.0,8,0,1,2,0,0
164,1.0,8,0,1,2,0,0
165,1.0,8,0,1,2,0,0
166,1.0,8,0,1,2,0,0
167,1.0,8,0,1,2,0,0
168,1.0,8,0,1,2,0,0
169,1.0,8,0,1,2,0,0
170,1.0,8,0,1,2,0,0
171,1.0,8,0,1,2,0,0
172,1.0,8,0,1,2,0,1
173,1.0,8,0,1,2,0,1
174,1.0,8,0,1,2,0,0
175,1.0,8,0,1,2,0,1
176,1.0,8,0,1,2,0,1
177,1.0,8,0,1,2,0,1
178,1.0,8,0,1,2,0,1
179,1.0,8,0,1,2,0,1
180,1.0,8,0,1,2,0,1
181,1.0,8,0,1,2,0,1
182,1.0,8,0,1,2,0,1
183,1.0,8,0,1,2,1,1
184,1.0,8,0,1,2,1,0
185,1.0,8,0,1,2,1,0
186,1.0,8,0,1,2,0,0
187,1.0,8,0,1,2,0,0
188,1.0,8,0,1,2,1,0
189,1.0,8,0,1,2,1,0
190,1.0,8,0,1,2,1,0
191,1.0,8,0,1,2,0,0
192,1.0,8,0,1,2,1,0
193,1.0,8,0,1,2,0,0
194,1.0,8,0,1,2,0,0
195,1.0,8,0,1,2,0,0
196,1.0,8,0,1,2,1,0
197,1.0,8,0,1,2,1,0
198,1.0,8,0,1,2,1,1
199,1.0,8,0,1,2,0,1
200,1.0,8,0,1,2,1,1
201,1.0,8,0,1,2,1,0
202,1.0,8,0,1,2,1,0
203,1.0,8,0,1,2,1,0
204,1.0,8,0,1,2,1,0
205,1.0,8,0,1,2,1,0
206,1.0,8,0,1,2,1,0
207,1.0,8,0,1,2,1,0
208,1.0,8,0,1,2,1,0
209,1.0,8,0,1,2,1,0
210,1.0,8,0,1,2,1,0
211,1.0,8,0,1,2,1,0
212,1.0,8,0,1,2,0,0
213,1.0,8,0,1,2,0,0
214,1.0,8,0,1,2,1,0
215,1.0,8,0,1,2,0,0
216,1.0,8,0,1,2,0,0
217,1.0,8,0,1,2,0,0
218,1.0,8,0,1,2,0,0
219,1.0,8,0,1,2,0,0
220,1.0,8,0,1,2,0,0
221,1.0,8,0,1,2,0,0
222,1.0,8,0,1,2,0,0
223,1.0,8,0,1,2,0,0
224,1.0,8,0,1,2,0,0
225,1.0,8,0,1,2,0,0
226,1.0,8,0,1,2,1,0
227,1.0,8,0,1,2,0,0
228,1.0,8,0,1,2,0,0
229,1.0,8,0,1,2,1,0
230,1.0,8,0,1,2,1,0
231,1.0,8,0,1,2,1,0
232,1.0,8,0,1,2,0,0
233,1.0,8,0,1,2,1,0
234,1.0,8,0,1,2,1,0
235,1.0,8,0,1,2,1,1
236,1.0,8,0,1,2,0,1
237,1.0,8,0,1,2,0,1
238,1.0,8,0,1,2,0,0
239,1.0,8,0,1,2,0,1
240,1.0,8,0,1,2,1,1
241,1.0,8,0,1,2,1,1
242,1.0,8,0,1,2,1,0
243,1.0,8,0,1,2,1,0
244,1.0,8,0,1,2,1,1
245,1.0,8,0,1,2,1,1
246,1.0,8,0,1,2,0,1
247,1.0,8,0,1,2,0,1
248,1.0,8,0,1,2,0,1
249,1.0,8,0,1,2,0,0
250,1.0,8,0,1,2,0,0
251,1.0,8,0,1,2,0,0
252,1.0,8,0,1,2,0,0
253,1.0,8,0,1,2,0,0
254,1.0,8,0,1,2,0,0
255,1.0,8,0,1,2,0,0
256,1.0,8,0,1,2,0,0
257,1.0,8,0,1,2,0,0
258,1.0,8,0,1,2,0,0
259,1.0,8,0,1,2,0,0
260,1.0,8,0,1,2,0,0
261,1.0,8,0,1,2,0,0
262,1.0,8,0,1,2,0,0
263,1.0,8,0,1,2,1,0
264,1.0,8,0,1,2,1,1
265,1.0,8,0,1,2,1,1
266,1.0,8,0,1,2,1,1
267,1.0,8,0,1,2,1,0
268,1.0,8,0,1,2,1,0
269,1.0,8,0,1,2,1,0
270,1.0,8,0,1,2,1,0
271,1.0,8,0,1,2,1,0
272,1.0,8,0,1,2,1,0
273,1.0,8,0,1,2,1,0
274,1.0,8,0,1,2,1,0
275,1.0,8,0,1,2,1,0
276,1.0,8,0,1,2,1,0
277,1.0,8,0,1,2,1,0
278,1.0,8,0,1,2,1,1
279,1.0,8,0,1,2,1,1
280,1.0,8,0,1,2,0,1
281,1.0,8,0,1,2,0,1
282,1.0,8,0,1,2,0,1
283,1.0,8,0,1,2,1,1
284,1.0,8,0,1,2,1,0
285,1.0,8,0,1,2,0,0
286,1.0,8,0,1,2,1,0
287,1.0,8,0,1,2,1,0
288,1.0,8,0,1,2,1,0
289,1.0,8,0,1,2,1,0
290,1.0,8,0,1,2,1,1
291,1.0,8,0,1,2,0,1
292,1.0,8,0,1,2,0,1
293,1.0,8,0,1,2,1,1
294,1.0,8,0,1,2,0,1
295,1.0,8,0,1,2,0,1
296,1.0,8,0,1,2,0,1
297,1.0,8,0,1,2,0,1
298,1.0,8,0,1,2,0,1
299,1.0,8,0,1,2,0,1
300,1.0,8,0,1,2,0,1
301,1.0,8,0,1,2,0,1
302,1.0,8,0,1,2,0,1
303,1.0,8,0,1,2,0,1
304,1.0,8,0,1,2,0,1
305,1.0,8,0,1,2,0,1
306,1.0,8,0,1,2,0,1
307,1.0,8,0,1,2,0,1
308,1.0,8,0,1,2,0,1
309,1.0,8,0,1,2,0,1
310,1.0,8,0,1,2,0,1
311,1.0,8,0,1,2,0,1
312,1.0,8,0,1,2,0,1
313,1.0,8,0,1,2,1,1
314,1.0,8,0,1,2,1,1
315,1.0,8,0,1,2,1,1
316,1.0,8,0,1,2,1,1
317,1.0,8,0,1,2,1,1
318,1.0,8,0,1,2,0,1
319,1.0,8,0,1,2,0,1
320,1.0,8,0,1,2,1,1
321,1.0,8,0,1,2,1,1
322,1.0,8,0,1,2,0,1
323,1.0,8,0,1,2,0,1
324,1.0,8,0,1,2,0,1
325,1.0,8,0,1,2,0,1
326,1.0,8,0,1,2,1,1
327,1.0,8,0,1,2,1,0
328,1.0,8,0,1,2,0,0
329,1.0,8,0,1,2,0,0
330,1.0,8,0,1,2,0,0
331,1.0,8,0,1,2,1,0
332,1.0,8,0,1,2,1,1
333,1.0,8,0,1,2,1,1
334,1.0,8,0,1,2,1,1
335,1.0,8,0,1,2,1,1
336,1.0,8,0,1,2,1,1
337,1.0,8,0,1,2,1,1
338,1.0,8,0,1,2,1,1
339,1.0,8,0,1,2,1,1
340,1.0,8,0,1,2,0,1
341,1.0,8,0,1,2,0,1
342,1.0,8,0,1,2,1,1
343,1.0,8,0,1,2,1,1
344,1.0,8,0,1,2,0,1
345,1.0,8,0,1,2,1,1
346,1.0,8,0,1,2,1,1
347,1.0,8,0,1,2,0,1
348,1.0,8,0,1,2,1,1
349,1.0,8,0,1,2,1,1
350,1.0,8,0,1,2,1,1
351,1.0,8,0,1,2,1,0
352,1.0,8,0,1,2,1,0
353,1.0,8,0,1,2,1,0
354,1.0,8,0,1,2,1,1
355,1.0,8,0,1,2,1,0
356,1.0,8,0,1,2,1,0
357,1.0,8,0,1,2,1,1
358,1.0,8,0,1,2,1,1
359,1.0,8,0,1,2,1,1
360,1.0,8,0,1,2,0,1
361,1.0,8,0,1,2,0,1
362,1.0,8,0,1,2,0,1
363,1.0,8,0,1,2,1,1
364,1.0,8,0,1,2,1,1
365,1.0,8,0,1,2,0,1
366,1.0,8,0,1,2,0,1
367,1.0,8,0,1,2,1,1
368,1.0,8,0,1,2,1,1
369,1.0,8,0,1,2,1,1
370,1.0,8,0,1,2,1,0
371,1.0,8,0,1,2,1,0
372,1.0,8,0,1,2,1,0
373,1.0,8,0,1,2,1,0
374,1.0,8,0,1,2,1,0
375,1.0,8,0,1,2,1,0
376,1.0,8,0,1,2,1,0
377,1.0,8,0,1,2,1,1
378,1.0,8,0,1,2,0,1
379,1.0,8,0,1,2,1,1
380,1.0,8,0,1,2,1,1
381,1.0,8,0,1,2,1,1
382,1.0,8,0,1,2,0,1
383,1.0,8,0,1,2,0,0
384,1.0,8,0,1,2,0,0
385,1.0,8,0,1,2,0,0
386,1.0,8,0,1,2,0,0
387,1.0,8,0,1,2,0,0
388,1.0,8,0,1,2,1,0
389,1.0,8,0,1,2,1,1
390,1.0,8,0,1,2,1,1
391,1.0,8,0,1,2,0,1
392,1.0,8,0,1,2,0,1
393,1.0,8,0,1,2,0,1
394,1.0,8,0,1,2,0,1
395,1.0,8,0,1,2,1,1
396,1.0,8,0,1,2,1,1
397,1.0,8,0,1,2,0,1
398,1.0,8,0,1,2,0,1
399,1.0,8,0,1,2,0,1
400,1.0,8,0,1,2,0,1
401,1.0,8,0,1,2,0,1
402,1.0,8,0,1,2,0,1
403,1.0,8,0,1,2,0,1
404,1.0,8,0,1,2,1,1
405,1.0,8,0,1,2,0,1
406,1.0,8,0,1,2,0,1
407,1.0,8,0,1,2,0,1
408,1.0,8,0,1,2,0,1
409,1.0,8,0,1,2,1,1
410,1.0,8,0,1,2,1,1
411,1.0,8,0,1,2,1,1
412,1.0,8,0,1,2,1,0
413,1.0,8,0,1,2,1,0
414,1.0,8,0,1,2,1,1
415,1.0,8,0,1,2,1,1
416,1.0,8,0,1,2,1,1
417,1.0,8,0,1,2,1,1
418,1.0,8,0,1,2,1,0
419,1.0,8,0,1,2,1,0
420,1.0,8,0,1,2,1,0
421,1.0,8,0,1,2,1,0
422,1.0,8,0,1,2,1,0
423,1.0,8,0,1,2,1,0
424,1.0,8,0,1,2,1,0
425,1.0,8,0,1,2,1,0
426,1.0,8,0,1,2,1,1
427,1.0,8,0,1,2,0,1
428,1.0,8,0,1,2,0,1
429,1.0,8,0,1,2,0,0
430,1.0,8,0,1,2,0,0
431,1.0,8,0,1,2,0,0
432,1.0,8,0,1,2,0,0
433,1.0,8,0,1,2,0,0
434,1.0,8,0,1,2,0,0
435,1.0,8,0,1,2,0,0
436,1.0,8,0,1,2,0,0
437,1.0,8,0,1,2,0,0
438,1.0,8,0,1,2,0,0
439,1.0,8,0,1,2,0,0
440,1.0,8,0,1,2,0,0
441,1.0,8,0,1,2,0,0
442,1.0,8,0,1,2,0,0
443,1.0,8,0,1,2,0,0
444,1.0,8,0,1,2,0,0
445,1.0,8,0,1,2,0,0
446,1.0,8,0,1,2,1,0
447,1.0,8,0,1,2,1,0
448,1.0,8,0,1,2,1,0
449,1.0,8,0,1,2,1,0
450,1.0,8,0,1,2,1,0
451,1.0,8,0,1,2,1,1
452,1.0,8,0,1,2,0,1
453,1.0,8,0,1,2,0,1
454,1.0,8,0,1,2,1,1
455,1.0,8,0,1,2,1,1
456,1.0,8,0,1,2,0,1
457,1.0,8,0,1,2,1,1
458,1.0,8,0,1,2,1,1
459,1.0,8,0,1,2,1,1
460,1.0,8,0,1,2,0,1
461,1.0,8,0,1,2,1,1
462,1.0,8,0,1,2,1,1
463,1.0,8,0,1,2,1,1
464,1.0,8,0,1,2,1,0
465,1.0,8,0,1,2,0,0
466,1.0,8,0,1,2,0,1
467,1.0,8,0,1,2,0,1
468,1.0,8,0,1,2,0,1
469,1.0,8,0,1,2,0,1
470,1.0,8,0,1,2,0,1
471,1.0,8,0,1,2,0,1
472,1.0,8,0,1,2,0,1
473,1.0,8,0,1,2,0,1
474,1.0,8,0,1,2,0,1
475,1.0,8,0,1,2,0,1
476,1.0,8,0,1,2,0,1
477,1.0,8,0,1,2,0,0
478,1.0,8,0,1,2,0,1
479,1.0,8,0,1,2,0,1
480,1.0,8,0,1,2,0,1
481,1.0,8,0,1,2,0,1
482,1.0,8,0,1,2,1,1
483,1.0,8,0,1,2,1,1
484,1.0,8,0,1,2,1,0
485,1.0,8,0,1,2,1,0
486,1.0,8,0,1,2,1,0
487,1.0,8,0,1,2,1,0
488,1.0,8,0,1,2,1,0
489,1.0,8,0,1,2,1,0
490,1.0,8,0,1,2,1,0
491,1.0,8,0,1,2,1,0
492,1.0,8,0,1,2,1,0
493,1.0,8,0,1,2,1,0
494,1.0,8,0,1,2,1,0
495,1.0,8,0,1,2,1,0
496,1.0,8,0,1,2,1,0
497,1.0,8,0,1,2,1,0
498,1.0,8,0,1,2,1,0
499,1.0,8,0,1,2,1,0
500,1.0,8,0,1,2,1,1
501,1.0,8,0,1,2,1,1
502,1.0,8,0,1,2,1,1
503,1.0,8,0,1,2,1,1
504,1.0,8,0,1,2,1,1
505,1.0,8,0,1,2,0,1
506,1.0,8,0,1,2,1,1
507,1.0,8,0,1,2,1,0
508,1.0,8,0,1,2,0,0
509,1.0,8,0,1,2,1,0
510,1.0,8,0,1,2,1,0
511,1.0,8,0,1,2,0,0
512,1.0,8,0,1,2,0,0
513,1.0,8,0,1,2,0,1
514,1.0,8,0,1,2,0,1
515,1.0,8,0,1,2,1,1
516,1.0,8,0,1,2,1,0
517,1.0,8,0,1,2,0,0
518,1.0,8,0,1,2,0,0
519,1.0,8,0,1,2,0,0
520,1.0,8,0,1,2,0,0
521,1.0,8,0,1,2,0,0
522,1.0,8,0,1,2,0,1
523,1.0,8,0,1,2,0,1
524,1.0,8,0,1,2,1,1
525,1.0,8,0,1,2,1,1
526,1.0,8,0,1,2,1,0
527,1.0,8,0,1,2,1,1
528,1.0,8,0,1,2,1,1
529,1.0,8,0,1,2,1,0
530,1.0,8,0,1,2,1,1
531,1.0,8,0,1,2,0,1
532,1.0,8,0,1,2,0,0
533,1.0,8,0,1,2,0,0
534,1.0,8,0,1,2,1,0
535,1.0,8,0,1,2,1,0
536,1.0,8,0,1,2,1,0
537,1.0,8,0,1,2,1,0
538,1.0,8,0,1,2,1,0
539,1.0,8,0,1,2,1,1
540,1.0,8,0,1,2,0,1
541,1.0,8,0,1,2,0,1
542,1.0,8,0,1,2,0,1
543,1.0,8,0,1,2,0,0
544,1.0,8,0,1,2,1,0
545,1.0,8,0,1,2,0,0
546,1.0,8,0,1,2,0,1
547,1.0,8,0,1,2,0,1
548,1.0,8,0,1,2,0,0
549,1.0,8,0,1,2,0,0
550,1.0,8,0,1,2,0,0
551,1.0,8,0,1,2,0,1
552,1.0,8,0,1,2,0,1
553,1.0,8,0,1,2,0,1
554,1.0,8,0,1,2,0,1
555,1.0,8,0,1,2,0,0
556,1.0,8,0,1,2,0,0
557,1.0,8,0,1,2,0,1
558,1.0,8,0,1,2,0,0
559,1.0,8,0,1,2,0,0
560,1.0,8,0,1,2,0,1
561,1.0,8,0,1,2,0,0
562,1.0,8,0,1,2,1,0
563,1.0,8,0,1,2,1,0
564,1.0,8,0,1,2,1,0
565,1.0,8,0,1,2,1,0
566,1.0,8,0,1,2,1,1
567,1.0,8,0,1,2,1,1
568,1.0,8,0,1,2,0,1
569,1.0,8,0,1,2,0,0
570,1.0,8,0,1,2,0,1
571,1.0,8,0,1,2,0,0
572,1.0,8,0,1,2,0,1
573,1.0,8,0,1,2,0,1
574,1.0,8,0,1,2,1,1
575,1.0,8,0,1,2,0,1
576,1.0,8,0,1,2,0,1
577,1.0,8,0,1,2,0,1
578,1.0,8,0,1,2,0,1
579,1.0,8,0,1,2,0,1
580,1.0,8,0,1,2,0,1
581,1.0,8,0,1,2,0,1
582,1.0,8,0,1,2,1,1
583,1.0,8,0,1,2,0,1
584,1.0,8,0,1,2,0,1
585,1.0,8,0,1,2,1,1
586,1.0,8,0,1,2,1,0
587,1.0,8,0,1,2,1,0
588,1.0,8,0,1,2,1,0
589,1.0,8,0,1,2,1,0
590,1.0,8,0,1,2,1,0
591,1.0,8,0,1,2,1,0
592,1.0,8,0,1,2,1,0
593,1.0,8,0,1,2,1,0
594,1.0,8,0,1,2,1,0
595,1.0,8,0,1,2,1,0
596,1.0,8,0,1,2,0,0
597,1.0,8,0,1,2,1,0
598,1.0,8,0,1,2,0,0
599,1.0,8,0,1,2,0,0
600,1.0,8,0,1,2,0,0
601,1.0,8,0,1,2,0,0
602,1.0,8,0,1,2,0,0
603,1.0,8,0,1,2,1,0
604,1.0,8,0,1,2,0,0
605,1.0,8,0,1,2,1,0
606,1.0,8,0,1,2,1,0
607,1.0,8,0,1,2,1,0
608,1.0,8,0,1,2,0,0
609,1.0,8,0,1,2,0,0
610,1.0,8,0,1,2,0,1
611,1.0,8,0,1,2,1,1
612,1.0,8,0,1,2,0,1
613,1.0,8,0,1,2,1,1
614,1.0,8,0,1,2,1,1
615,1.0,8,0,1,2,1,0
616,1.0,8,0,1,2,0,0
617,1.0,8,0,1,2,0,0
618,1.0,8,0,1,2,0,0
619,1.0,8,0,1,2,0,0
620,1.0,8,0,1,2,0,0
621,1.0,8,0,1,2,1,0
622,1.0,8,0,1,2,1,0
623,1.0,8,0,1,2,1,0
624,1.0,8,0,1,2,1,0
625,1.0,8,0,1,2,1,0
626,1.0,8,0,1,2,1,0
627,1.0,8,0,1,2,0,0
628,1.0,8,0,1,2,0,0
629,1.0,8,0,1,2,1,0
630,1.0,8,0,1,2,0,0
631,1.0,8,0,1,2,0,0
632,1.0,8,0,1,2,0,0
633,1.0,8,0,1,2,0,1
634,1.0,8,0,1,2,0,1
635,1.0,8,0,1,2,0,1
636,1.0,8,0,1,2,0,1
637,1.0,8,0,1,2,0,1
638,1.0,8,0,1,2,0,1
639,1.0,8,0,1,2,0,1
640,1.0,8,0,1,2,0,1
641,1.0,8,0,1,2,0,1
642,1.0,8,0,1,2,0,0
643,1.0,8,0,1,2,0,1
644,1.0,8,0,1,2,0,1
645,1.0,8,0,1,2,0,1
646,1.0,8,0,1,2,0,0
647,1.0,8,0,1,2,1,0
648,1.0,8,0,1,2,1,0
649,1.0,8,0,1,2,1,0
650,1.0,8,0,1,2,1,1
651,1.0,8,0,1,2,1,1
652,1.0,8,0,1,2,1,1
653,1.0,8,0,1,2,1,1
654,1.0,8,0,1,2,1,1
655,1.0,8,0,1,2,1,1
656,1.0,8,0,1,2,1,1
657,1.0,8,0,1,2,1,1
658,1.0,8,0,1,2,1,1
659,1.0,8,0,1,2,1,1
660,1.0,8,0,1,2,1,1
661,1.0,8,0,1,2,1,1
662,1.0,8,0,1,2,1,1
663,1.0,8,0,1,2,1,1
664,1.0,8,0,1,2,1,1
665,1.0,8,0,1,2,1,1
666,1.0,8,0,1,2,1,1
667,1.0,8,0,1,2,1,1
668,1.0,8,0,1,2,1,1
669,1.0,8,0,1,2,1,1
670,1.0,8,0,1,2,1,1
671,1.0,8,0,1,2,1,1
672,1.0,8,0,1,2,1,1
673,1.0,8,0,1,2,1,1
674,1.0,8,0,1,2,1,1
675,1.0,8,0,1,2,0,1
676,1.0,8,0,1,2,0,1
677,1.0,8,0,1,2,0,1
678,1.0,8,0,1,2,0,0
679,1.0,8,0,1,2,1,0
680,1.0,8,0,1,2,1,0
681,1.0,8,0,1,2,1,1
682,1.0,8,0,1,2,0,1
683,1.0,8,0,1,2,1,1
684,1.0,8,0,1,2,0,1
685,1.0,8,0,1,2,1,1
686,1.0,8,0,1,2,0,1
687,1.0,8,0,1,2,0,1
688,1.0,8,0,1,2,0,1
689,1.0,8,0,1,2,1,1
690,1.0,8,0,1,2,1,0
691,1.0,8,0,1,2,1,0
692,1.0,8,0,1,2,1,0
693,1.0,8,0,1,2,1,0
694,1.0,8,0,1,2,1,0
695,1.0,8,0,1,2,1,0
696,1.0,8,0,1,2,1,0
697,1.0,8,0,1,2,1,0
